district_id,region,district,class,latitude,longitude,total_pop,poverty_rate_pct,poverty_intensity_pct,illiteracy_rate_pct,uninsurance_rate_pct,youth_dependency_ratio,sex_ratio,employment_rate_pct,pop_0_14,pop_15_64,pop_65plus,nmr_per1000lb,imr_per1000lb,u5mr_per1000lb,pnmr_per1000lb,child_mr_per1000lb,bcg_coverage_pct,dpt3_coverage_pct,measles_coverage_pct,fully_vaccinated_pct,polio3_coverage_pct,diarrhea_prevalence_pct,ors_use_pct,continued_feeding_diarrhea_pct,early_breastfeeding_pct,dietary_diversity_pct,min_meal_freq_pct,child_anemia_any_pct,child_anemia_moderate_pct,child_anemia_severe_pct,improved_water_pct,piped_water_pct,surface_water_pct,improved_sanitation_pct,open_defecation_pct,women_no_edu_pct,women_secondary_plus_pct,female_literacy_pct,u5mr_high_risk,nmr_high_risk
1,Ahafo,Asunafo North Municipal,Municipal,6.81509969999999,-2.67736640122449,151258,26.1,42.0,26.32,14.24,59.28,103.65,53.18,54201,91432,5625,9.0,17.0,29.0,5.0,12.0,88.8,84.36,84.1,72.0,78.5,23.3,44.01666666666667,24.58333333333333,62.14,40.06,31.65,35.5,11.55,0.35,66.88,1.05,10.9,34.983333333333334,11.45,13.4,75.65,69.95,0,0
2,Ahafo,Asunafo South,District,6.56280465,-2.53279356335542,91693,26.2,42.7,28.89,47.5,62.41,104.74,56.49,33853,54241,3599,9.0,17.0,29.0,5.0,12.0,88.8,82.34,84.1,72.75,78.5,21.01,44.01666666666667,24.58333333333333,60.82,39.91,31.65,35.5,11.55,0.35,69.11,1.05,10.9,34.983333333333334,11.45,13.4,75.65,71.94,0,0
3,Ahafo,Asutifi North,District,7.07651835,-2.52531850396715,73556,26.6,43.1,25.55,17.3,58.29,107.01,51.41,26046,44681,2829,9.0,17.0,29.0,5.0,12.0,88.8,85.03,84.1,71.57,78.5,23.41,44.01666666666667,24.58333333333333,61.17,40.39,31.65,35.5,11.55,0.35,72.45,1.05,10.9,34.983333333333334,11.45,13.4,75.65,72.79,0,0
4,Ahafo,Asutifi South,District,6.84924284999999,-2.46125343688365,67334,23.2,42.4,29.26,21.67,62.46,103.81,50.88,24916,39893,2525,9.0,17.0,29.0,5.0,12.0,88.8,85.31,84.1,73.11,78.5,20.64,44.01666666666667,24.58333333333333,60.87,42.01,31.65,35.5,11.55,0.35,66.43,1.05,10.9,34.983333333333334,11.45,13.4,75.65,69.32,0,0
5,Ahafo,Tano North Municipal,Municipal,7.19329065,-2.2080833699397,93838,21.6,42.3,23.45,14.1,58.01,95.6,51.5,32797,56534,4507,9.0,17.0,29.0,5.0,12.0,88.8,80.97,84.1,73.92,78.5,23.48,44.01666666666667,24.58333333333333,60.5,39.77,31.65,35.5,11.55,0.35,70.08,1.05,10.9,34.983333333333334,11.45,13.4,75.65,71.74,0,0
6,Ahafo,Tano South Municipal,Municipal,7.16093674999999,-1.99681708617696,86989,23.7,42.6,27.91,20.45,62.19,94.72,52.58,31841,51200,3948,9.0,17.0,29.0,5.0,12.0,88.8,81.95,84.1,72.63,78.5,21.5,44.01666666666667,24.58333333333333,59.18,41.86,31.65,35.5,11.55,0.35,68.83,1.05,10.9,34.983333333333334,11.45,13.4,75.65,71.37,0,0
7,Ashanti,Adansi Asokwa,District,6.2467263,-1.50841,71844,32.4,43.3,28.26,50.15,62.99,96.85,51.89,26456,41999,3389,17.5,34.0,45.0,12.0,11.0,97.2,88.69,91.9,80.03,89.9,17.19,42.583333333333336,33.11666666666667,67.17,44.94,41.2,39.05,13.7,0.4,80.41,1.5499999999999998,1.45,37.1,8.3,6.55,83.75,80.61,0,0
8,Ashanti,Adansi North,District,6.3006124,-1.5897139446089,54155,19.7,42.8,18.16,27.63,54.48,97.57,48.48,18243,33485,2427,17.5,34.0,45.0,12.0,11.0,97.2,88.03,91.9,79.58,89.9,19.15,42.583333333333336,33.11666666666667,66.28,46.49,41.2,39.05,13.7,0.4,78.19,1.5499999999999998,1.45,37.1,8.3,6.55,83.75,80.08,0,0
9,Ashanti,Adansi South,District,6.00427495,-1.39314032189093,85200,35.0,43.2,27.07,46.09,62.6,97.24,54.97,31297,49996,3907,17.5,34.0,45.0,12.0,11.0,97.2,88.47,91.9,79.5,89.9,16.26,42.583333333333336,33.11666666666667,65.52,46.96,41.2,39.05,13.7,0.4,79.81,1.5499999999999998,1.45,37.1,8.3,6.55,83.75,77.92,0,0
10,Ashanti,Afigya Kwabre North,District,7.03891495,-1.62667127242319,73330,25.2,43.7,23.98,30.12,70.24,96.16,48.21,29049,41355,2926,17.5,34.0,45.0,12.0,11.0,97.2,87.22,91.9,78.42,89.9,15.39,42.583333333333336,33.11666666666667,68.17,50.47,41.2,39.05,13.7,0.4,80.05,1.5499999999999998,1.45,37.1,8.3,6.55,83.75,78.21,0,0
